Index,ItemName,WeaponType,Stand,Walk,SwingAttack,SwingFinalAttack,StabAttack,StabFinalAttack,ShootAttack,ShootFinalAttack,desc
onehandedweapon-1395,플레인,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1118,골드 샤인,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-883,데코어 플레인,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1360,발렌티어,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1191,샤프 슬레이버,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-378,라이트윙 세이지,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-453,듀얼 샤이닝스타,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1062,글림 골드윙,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1212,크레센트,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1513,드래곤 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-775,타임리스 데드엔드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1412,엘리고스 블러디 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1440,드래곤테일 타나토스,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-925,알마 반 레온 글로리어,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-718,템페스트 샤이닝 로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-418,얼티밋 샤이닝 로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1210,파프니르 마나크래들,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-377,스칼렛 타나토스,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-884,10주년 블랙 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-982,10주년 화이트 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1399,혼돈의 포션,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-838,마이스터 타나토스,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-380,레볼루션 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-601,꽃분홍 튜브,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-502,11주년 세인트 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1384,자쿰의 포이즈닉 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1265,쟈이힌 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-892,우트가르드 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-893,앱솔랩스 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-836,메이플 트레져 샤이닝 로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,메이플 12주년 기념 장비이다.
onehandedweapon-1141,아케인셰이드 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-714,봉인된 제네시스 샤이닝로드,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1569,딤 게이저,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1612,험블 스팅,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1617,페일 로버,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1613,아이러닉 반타,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1581,리틀 후드럼,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1622,블러드라인즈,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1563,크림슨 마우트,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1577,레버너스 레이,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1583,드래곤 켈란,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1565,자쿰의 포이즈닉 브레스 슈터,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1574,브히제르 칼리그,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1603,네크로 브레스 슈터,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1631,쟈이힌 브레스 슈터,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1621,로얄 반 레온 브레스 슈터,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1590,우트가르드 브레스 슈터,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1630,팔콘윙 스플렌디드 네로,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1602,파프니르 나이트체이서,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1596,앱솔랩스 브레스 슈터,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1572,아케인셰이드 브레스 슈터,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1610,마이스터 모르스,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1578,블랙 브레스 슈터,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
onehandedweapon-1616,봉인된 제네시스 브레스 슈터,none,stand1,walk1,"swingO1,swingO2,swingO3",,"stabO1,stabO2",,,,
