Index,Name,MaleProb,FemaleProb
twohandedweapon-1003,양손검,1,1
twohandedweapon-743,목검,1,1
twohandedweapon-1258,왕푸,1,1
twohandedweapon-547,호검,1,1
twohandedweapon-624,청운검,1,1
twohandedweapon-666,참마도,1,1
twohandedweapon-503,하이랜더,1,1
twohandedweapon-695,쟈드,1,1
twohandedweapon-898,클러디,1,1
twohandedweapon-904,나무 야구 방망이,1,1
twohandedweapon-748,알루미늄 야구 방망이,1,1
twohandedweapon-1433,그리스,1,1
twohandedweapon-731,그륜힐,1,1
twohandedweapon-1198,일본지도,1,1
twohandedweapon-928,체온계,1,1
twohandedweapon-1204,그레이트 로헨,1,1
twohandedweapon-507,라 투핸더,1,1
twohandedweapon-871,다이와 칼,1,1
twohandedweapon-1210,환목검,1,1
twohandedweapon-531,참화도,1,1
twohandedweapon-977,드래곤 클레이모어,1,1
twohandedweapon-631,메이플 소울 로헨,1,1
twohandedweapon-1333,타임리스 니플하임,1,1
twohandedweapon-248,베인스워드,1,1
twohandedweapon-932,아스카론,1,1
twohandedweapon-1113,메이플 파이롭 로헨,1,1
twohandedweapon-960,막스 반 레온 스워드,1,1
twohandedweapon-474,라이온하트 배틀시미터,1,1
twohandedweapon-1378,아가레스 블러디 투핸더,1,1
twohandedweapon-1176,메이플 베릴 베다,1,1
twohandedweapon-1188,메이플 래티넘 베다,1,1
twohandedweapon-1477,네크로 투핸더,1,1
twohandedweapon-860,메이플 이올렛 클레이모어,1,1
twohandedweapon-944,강인한 전사의 투핸드소드,1,1
twohandedweapon-804,내 친구 범고래,1,1
twohandedweapon-714,초코바나나,1,1
twohandedweapon-819,사신의 낫,1,1
twohandedweapon-694,템페스트 클레이모어,1,1
twohandedweapon-913,카이저의 수련대검,1,1
twohandedweapon-597,저주받은 카이세리움,1,1
twohandedweapon-689,얼티밋 클레이모어,1,1
twohandedweapon-516,파프니르 페니텐시아,1,1
twohandedweapon-811,스칼렛 클레이모어,1,1
twohandedweapon-1232,10주년 블랙 투핸드소드,1,1
twohandedweapon-1155,10주년 화이트 투핸드소드,1,1
twohandedweapon-801,마이스터 클레이모어,1,1
twohandedweapon-1371,카이세리온,1,1
twohandedweapon-862,레볼루션 투핸드소드,1,1
twohandedweapon-529,용맹의 날개,1,1
twohandedweapon-953,레드 투핸드소드,1,1
twohandedweapon-1262,류드의 검,1,1
twohandedweapon-1321,11주년 세인트 투핸드소드,1,1
twohandedweapon-922,자쿰의 포이즈닉 투핸드소드,1,1
twohandedweapon-1187,쟈이힌 투핸드소드,1,1
twohandedweapon-1153,우트가르드 투핸드소드,1,1
twohandedweapon-1178,앱솔랩스 브로드세이버,1,1
twohandedweapon-470,메이플 트레져 투핸드소드,1,1
twohandedweapon-1449,아야메의 화철포,1,1
twohandedweapon-1451,카스미기리노 카타나,1,1
twohandedweapon-1085,아케인셰이드 투핸드소드,1,1
twohandedweapon-1037,봉인된 제네시스 투핸드소드,1,1
twohandedweapon-1567,에넷 카니스,1,1
twohandedweapon-1570,페룸 아퀼라,1,1
twohandedweapon-1568,옵시딕 코버스,1,1
twohandedweapon-1569,루베스 라체르타,1,1
twohandedweapon-1571,다마스크 에쿠스,1,1
twohandedweapon-1572,자피르 파시스,1,1
twohandedweapon-1575,아시믹 카프라,1,1
twohandedweapon-1577,크루소 아푸스,1,1
twohandedweapon-1579,드래곤 우르사,1,1
twohandedweapon-1578,자쿰의 포이즈닉 제하르,1,1
twohandedweapon-1574,브히제르 타루스,1,1
twohandedweapon-1573,네크로 차크람,1,1
twohandedweapon-1576,쟈이힌 루퍼스,1,1
twohandedweapon-1583,로얄 반 레온 차크람,1,1
twohandedweapon-1580,우트가르드 세투스,1,1
twohandedweapon-1581,레이븐혼 차크람,1,1
twohandedweapon-1586,파프니르 차크람,1,1
twohandedweapon-1584,앱솔랩스 차크람,1,1
twohandedweapon-1582,아케인셰이드 차크람,1,1
twohandedweapon-1585,마이스터 하이드라,1,1
twohandedweapon-1587,블랙 크샤마,1,1
twohandedweapon-1590,봉인된 제네시스 이클립스,1,1
twohandedweapon-1591,하이 펠릭스,1,1
twohandedweapon-1053,양손 도끼,1,1
twohandedweapon-637,쇠 도끼,1,1
twohandedweapon-900,강철 도끼,1,1
twohandedweapon-990,라이징,1,1
twohandedweapon-1217,니암,1,1
twohandedweapon-501,버드빌,1,1
twohandedweapon-1183,버크,1,1
twohandedweapon-885,샤이닝,1,1
twohandedweapon-979,크로노,1,1
twohandedweapon-784,헬리오스,1,1
twohandedweapon-800,클로니안 엑스,1,1
twohandedweapon-929,메이플 투핸디드 엑스,1,1
twohandedweapon-751,철제 도끼,1,1
twohandedweapon-1337,타바르,1,1
twohandedweapon-1280,드래곤 배틀엑스,1,1
twohandedweapon-613,메이플 데몬엑스,1,1
twohandedweapon-896,타임리스 타바르진,1,1
twohandedweapon-949,라이온하트 배틀엑스,1,1
twohandedweapon-1004,아가레스 블러디 기간틱,1,1
twohandedweapon-621,메이플 베릴 아발란체,1,1
twohandedweapon-1366,메이플 래티넘 아발란체,1,1
twohandedweapon-1387,네크로 기간틱,1,1
twohandedweapon-1362,메이플 이올렛 버터플라이,1,1
twohandedweapon-489,템페스트 버터플라이,1,1
twohandedweapon-847,얼티밋 버터플라이,1,1
twohandedweapon-856,파프니르 배틀클리버,1,1
twohandedweapon-672,스칼렛 배틀엑스,1,1
twohandedweapon-799,10주년 블랙 투핸드엑스,1,1
twohandedweapon-952,10주년 화이트 투핸드엑스,1,1
twohandedweapon-1062,마이스터 배틀엑스,1,1
twohandedweapon-1341,레볼루션 투핸드엑스,1,1
twohandedweapon-588,11주년 세인트 투핸드엑스,1,1
twohandedweapon-1051,자쿰의 포이즈닉 투핸드엑스,1,1
twohandedweapon-1399,쟈이힌 투핸드엑스,1,1
twohandedweapon-634,우트가르드 투핸드엑스,1,1
twohandedweapon-1268,앱솔랩스 브로드엑스,1,1
twohandedweapon-1140,로얄 반 레온 투핸드엑스,1,1
twohandedweapon-523,메이플 트레져 투핸드엑스,1,1
twohandedweapon-972,아케인셰이드 투핸드엑스,1,1
twohandedweapon-735,봉인된 제네시스 투핸드엑스,1,1
twohandedweapon-709,나무 망치,1,1
twohandedweapon-907,미스릴 모울,1,1
twohandedweapon-1160,강철구 망치,1,1
twohandedweapon-782,사각 망치,1,1
twohandedweapon-851,몽키 스페너,1,1
twohandedweapon-846,골든 모울,1,1
twohandedweapon-546,곡괭이,1,1
twohandedweapon-1110,타이탄,1,1
twohandedweapon-756,빅해머,1,1
twohandedweapon-1081,플루튬,1,1
twohandedweapon-1330,호프만,1,1
twohandedweapon-653,사케(일본주),1,1
twohandedweapon-557,크롬,1,1
twohandedweapon-1123,레오마이트,1,1
twohandedweapon-453,메이플 빅 모울,1,1
twohandedweapon-1286,골든 스미스해머,1,1
twohandedweapon-559,드래곤 플레임,1,1
twohandedweapon-1127,메이플 벨제트,1,1
twohandedweapon-490,타임리스 벨로체,1,1
twohandedweapon-645,메이플 파이롭 모울,1,1
twohandedweapon-1112,라이온하트 기간틱모울,1,1
twohandedweapon-1368,아가레스 블러디모울,1,1
twohandedweapon-1054,메이플 베릴 토르,1,1
twohandedweapon-894,메이플 래티넘 토르,1,1
twohandedweapon-648,네크로 모울,1,1
twohandedweapon-1059,메이플 이올렛 빅모울,1,1
twohandedweapon-1392,템페스트 빅모울,1,1
twohandedweapon-942,얼티밋 빅모울,1,1
twohandedweapon-1462,파프니르 라이트닝어,1,1
twohandedweapon-906,스칼렛 배틀해머,1,1
twohandedweapon-1126,10주년 블랙 모울,1,1
twohandedweapon-1376,10주년 화이트 모울,1,1
twohandedweapon-692,마이스터 배틀해머,1,1
twohandedweapon-1013,레볼루션 모울,1,1
twohandedweapon-568,레드 모울,1,1
twohandedweapon-240,살벌한 전기톱,1,1
twohandedweapon-874,11주년 세인트 모울,1,1
twohandedweapon-1119,자쿰의 포이즈닉 빅해머,1,1
twohandedweapon-757,쟈이힌 투핸드해머,1,1
twohandedweapon-1218,우트가르드 투핸드해머,1,1
twohandedweapon-1396,앱솔랩스 브로드해머,1,1
twohandedweapon-1408,로얄 반 레온 투핸드해머,1,1
twohandedweapon-826,메이플 트레져 모울,1,1
twohandedweapon-1269,설화선,1,1
twohandedweapon-641,아케인셰이드 투핸드해머,1,1
twohandedweapon-1186,봉인된 제네시스 투핸드해머,1,1
twohandedweapon-1340,창,1,1
twohandedweapon-1234,포크 창,1,1
twohandedweapon-844,삼지창,1,1
twohandedweapon-935,나카마키,1,1
twohandedweapon-959,장팔사모,1,1
twohandedweapon-614,제코,1,1
twohandedweapon-1190,십자창,1,1
twohandedweapon-492,스페판,1,1
twohandedweapon-1020,물고기 작살,1,1
twohandedweapon-1407,죽창,1,1
twohandedweapon-1284,호진공창,1,1
twohandedweapon-1322,페어프로즌,1,1
twohandedweapon-1134,메이플 스피어,1,1
twohandedweapon-707,펌프킨 스피어,1,1
twohandedweapon-696,스키_레드,1,1
twohandedweapon-540,스키_오렌지,1,1
twohandedweapon-1199,스키_그린,1,1
twohandedweapon-598,스키_스카이,1,1
twohandedweapon-1261,피나카,1,1
twohandedweapon-724,드래곤 팔티잔,1,1
twohandedweapon-1442,낚싯대,1,1
twohandedweapon-863,메이플 베리트 스피어,1,1
twohandedweapon-533,타임리스 알슈피스,1,1
twohandedweapon-664,벨룸 스피어,1,1
twohandedweapon-594,메이플 파이롭 스피어,1,1
twohandedweapon-997,막스 반 레온 스피어,1,1
twohandedweapon-497,라이온하트 푸스키나,1,1
twohandedweapon-1323,아가레스 블러디 스피어,1,1
twohandedweapon-1448,메이플 베릴 파르파티,1,1
twohandedweapon-458,메이플 래티넘 파르파티,1,1
twohandedweapon-1052,네크로 스피어,1,1
twohandedweapon-1024,메이플 이올렛 올피어스,1,1
twohandedweapon-1315,템페스트 올피어스,1,1
twohandedweapon-472,아메리칸 핫도그,1,1
twohandedweapon-495,얼티밋 올피어스,1,1
twohandedweapon-1452,파프니르 브류나크,1,1
twohandedweapon-1158,스칼렛 배틀스피어,1,1
twohandedweapon-459,10주년 블랙 스피어,1,1
twohandedweapon-1425,10주년 화이트 스피어,1,1
twohandedweapon-639,마이스터 배틀스피어,1,1
twohandedweapon-750,레볼루션 스피어,1,1
