Index,Name,MaleProb,FemaleProb
cap-644,파란색 털모자,1,1
cap-1709,흑복건,1,1
cap-114,청복건,1,1
cap-219,귀신 가면,1,1
cap-1074,교복모자,1,1
cap-1736,남자 닌자모자,1,1
cap-1467,저승사자 갓,1,1
cap-25,중절모,1,1
cap-462,메소레인저 레드 헬멧,1,1
cap-662,메소레인저 블루 헬멧,1,1
cap-1443,메소레인저 그린 헬멧,1,1
cap-1002,메소레인저 블랙 헬멧,1,1
cap-76,크라운 옐로우,1,1
cap-1177,크라운 블루,1,1
cap-702,크라운 레드,1,1
cap-1605,반담 모자,1,1
cap-1075,큐티 그린 헌팅캡,1,1
cap-1064,인디언 추장모자,1,1
cap-1689,카레이싱캡,1,1
cap-787,산타보이 모자,1,1
cap-1195,웨딩 베일,1,1
cap-212,웨딩 모자,1,1
cap-215,설빙의 투구,1,1
cap-590,나폴레옹 모자,1,1
cap-489,트윙클 Boy 모자,1,1
cap-1837,민트 스노우 크리스탈,1,1
cap-5,다크 포스 혼,1,1
cap-992,포근한 당근 모자,1,1
cap-372,은월 화모,1,1
cap-565,봉봉 포니 모자,1,1
cap-1132,블루 통통,1,1
cap-607,봄나들이 베레모,1,1
cap-112,붉은 황혼,1,1
cap-1745,딜런의 실크햇,1,1
cap-387,매드 닥터 나사못,1,1
cap-70,아쿠아마린 젬,1,1
cap-513,꽃무늬 도령모,1,1
cap-2203,밤의 무결,1,1
cap-2128,나이트 햇,1,1
cap-2120,애티튜드 캡,1,1
cap-2041,하늘색곰돌 모자,1,1
cap-2198,밤의 산들,1,1
cap-2142,네온 민트 구슬핀,1,1
cap-2103,메이플 바캉스 모자,1,1
cap-2178,신선 놀음 모자,1,1
cap-1978,행운 가득 클로버 모자,1,1
cap-2035,비단 복건,1,1
cap-2205,밤의 퍼즐,1,1
cap-2187,흑단운,1,1
cap-2206,밤의 라문,1,1
cap-2207,밤의 아렌,1,1
cap-2200,메이플 모멘트리 크라운,1,1
cap-2199,눈의 군주,1,1
cap-2220,밤의 셀론,1,1
cap-2216,유령 신랑 웨딩 중절모,1,1
cap-2215,미스틱 로즈 페더,1,1
cap-2211,밤의 리틀 스타,1,1
cap-2201,모험가 나이트로드 헤어밴드,1,1
cap-2224,모험가 캐논슈터 헤어밴드,1,1
cap-2226,모험가 캡틴 모자,1,1
cap-2212,케이프 마크 베레모,1,1
cap-2219,흑발 허쉬 가발,1,1
cap-2218,흑발 레드카펫 가발,1,1
cap-2228,흑발 플로우 가발,1,1
cap-2223,흑발 제롬 가발,1,1
cap-2229,흑발 민트 가발,1,1
cap-2232,흑발 리커버 가발,1,1
cap-1804,주황색 털모자,1,1
cap-466,조바위,1,1
cap-1797,마녀 모자,1,1
cap-769,분홍색 간호사 모자,1,1
cap-1550,흰색 간호사 모자,1,1
cap-27,여자 닌자모자,1,1
cap-1001,SF 닌자모자,1,1
cap-1253,여성 가발,1,1
cap-119,숙녀모자,1,1
cap-1015,헤어리본,1,1
cap-584,곰모자,1,1
cap-665,딸기모자,1,1
cap-199,프린세스 크라운,1,1
cap-857,베레모,1,1
cap-552,프린세스 티아라,1,1
cap-1052,레이디 블루,1,1
cap-935,레이디 핑크,1,1
cap-1749,레이디 옐로,1,1
cap-1129,엘레강스 무도회 모자,1,1
cap-1003,반담 모자,1,1
cap-138,피크닉 모자,1,1
cap-1130,다이아몬드 티아라,1,1
cap-1894,인디언 붉은깃털 머리띠,1,1
cap-1565,인디언 푸른깃털 머리띠,1,1
cap-509,초선건,1,1
cap-1623,화이트 키티걸 머리띠,1,1
cap-191,블랙 키티걸 머리띠,1,1
cap-260,메이드 모자,1,1
cap-654,산타걸 모자,1,1
cap-863,호피모자,1,1
cap-1715,보라색 웨딩 베일,1,1
cap-117,핑크 티아라,1,1
cap-1587,연두색 웨딩 베일,1,1
cap-840,고스로리 미니햇,1,1
cap-693,딸기우유 프릴 보넷,1,1
cap-1562,디어 크리스마스,1,1
cap-75,트윙클 Girl 모자,1,1
cap-494,핑크엔젤 윙 캡,1,1
cap-1923,빨간모자 두건,1,1
cap-1733,앙고라 골드 개츠비,1,1
cap-655,에레브의 별,1,1
cap-1726,체리 스노우 크리스탈,1,1
cap-642,엔젤릭 리본,1,1
cap-1759,엔젤릭 네이비 캡,1,1
cap-16,꽃분홍 나비머리핀,1,1
cap-1752,따뜻한 당근 모자,1,1
cap-1721,만두머리 가발,1,1
cap-1464,은월 꽃비녀,1,1
cap-83,퐁퐁 포니 모자,1,1
cap-1576,핑크 통통,1,1
cap-1328,꽃 나들이 베레모,1,1
cap-1293,푸른 신야,1,1
cap-839,로잘리아의 장미,1,1
cap-1190,핑크다이아 젬,1,1
cap-1438,오데트 티아라,1,1
cap-1611,펭귄 후드,1,1
cap-1185,블러디 브라이드 베일,1,1
cap-377,꽃무늬 아얌,1,1
cap-2230,밤의 수려,1,1
cap-1962,매지션 햇,1,1
cap-2014,애티튜드 리본,1,1
cap-1995,하늘색곰돌 머리띠,1,1
cap-2225,밤의 윤슬,1,1
cap-2073,네온 핑크 비단 리본,1,1
cap-2139,메이플 바캉스 모자,1,1
cap-2169,신선 놀음 모자,1,1
cap-2152,행운 가득 클로버 모자,1,1
cap-1949,비단 조바위,1,1
cap-2217,밤의 클루,1,1
cap-2043,흑단향,1,1
cap-2231,밤의 라리엘,1,1
cap-2227,밤의 아멜리,1,1
cap-2208,메이플 모멘트리 크라운,1,1
cap-2221,눈의 여왕,1,1
cap-2235,미스틱 루비 크라운,1,1
cap-2247,밤의 블랑슈,1,1
