Index,Name,MaleProb,FemaleProb
cape-131,나폴레옹 망토,1,1
cape-482,매드 닥터 청진기,1,1
cape-394,초록색 모험가의 망토,1,1
cape-563,파란색 모험가의 망토,1,1
cape-264,빨간색 모험가의 망토,1,1
cape-206,흰색 모험가의 망토,1,1
cape-16,검은색 모험가의 망토,1,1
cape-136,아기천사 날개,1,1
cape-79,꼬마악마 날개,1,1
cape-346,노란색 별무늬 망토,1,1
cape-363,파란색 별무늬 망토,1,1
cape-342,빨간색 별무늬 망토,1,1
cape-76,검은색 별무늬 망토,1,1
cape-587,파란색 수호의 망토,1,1
cape-366,빨간색 수호의 망토,1,1
cape-337,흰색 수호의 망토,1,1
cape-83,검은색 수호의 망토,1,1
cape-166,파란색 마법의 망토,1,1
cape-176,빨간색 마법의 망토,1,1
cape-119,흰색 마법의 망토,1,1
cape-604,검은색 마법의 망토,1,1
cape-102,태극 망토,1,1
cape-526,거북이 등껍질,1,1
cape-476,파란색 가이아의 망토,1,1
cape-58,빨간색 가이아의 망토,1,1
cape-239,흰색 가이아의 망토,1,1
cape-489,검은색 가이아의 망토,1,1
cape-448,빨간색 보자기,1,1
cape-456,초록색 세라프의 망토,1,1
cape-341,파란색 세라프의 망토,1,1
cape-173,빨간색 세라프의 망토,1,1
cape-344,흰색 세라프의 망토,1,1
cape-27,검은색 세라프의 망토,1,1
cape-100,초록색 자일즈의 망토,1,1
cape-144,자주색 자일즈의 망토,1,1
cape-271,빨간색 자일즈의 망토,1,1
cape-533,파란색 자일즈의 망토,1,1
cape-495,검은색 자일즈의 망토,1,1
cape-156,복고풍 레드 백팩,1,1
cape-588,복고풍 블랙 백팩,1,1
cape-470,복고풍 블루 백팩,1,1
cape-338,노랑색 모험가의 망토,1,1
cape-493,분홍색 모험가의 망토,1,1
cape-34,보라색 모험가의 망토,1,1
cape-113,갈색 모험가의 망토,1,1
cape-406,빨간색 Z 부스터,1,1
cape-598,파란색 Z 부스터,1,1
cape-86,파란색 실리스의 망토,1,1
cape-21,하늘색 실리스의 망토,1,1
cape-503,빨간색 실리스의 망토,1,1
cape-494,님프의 블루윙,1,1
cape-74,님프의 그린윙,1,1
cape-10,님프의 옐로윙,1,1
cape-355,님프의 핑크윙,1,1
cape-466,허름한 망토,1,1
cape-24,이카루스의 망토,1,1
cape-204,루디브리엄 망토,1,1
cape-424,악마 루시퍼의 날개,1,1
cape-152,천사 미카엘의 날개,1,1
cape-162,핑크 리본,1,1
cape-311,산소통,1,1
cape-535,오성홍기 망토,1,1
cape-396,검은 천사날개,1,1
cape-172,도깨비 망토,1,1
cape-564,크리스마스 망토,1,1
cape-170,암흑의 망토,1,1
cape-236,호랑이 꼬리,1,1
cape-343,드라큐라의 날개,1,1
cape-593,핑크 날개,1,1
cape-139,파란 책가방,1,1
cape-255,옐로그린 포켓백팩,1,1
cape-103,핫핑크 포켓백팩,1,1
cape-373,빛나는 나비날개,1,1
cape-389,박쥐 날개,1,1
cape-22,신문지,1,1
cape-430,솜이불,1,1
cape-25,가오리 연,1,1
cape-579,곰인형,1,1
cape-15,하트 풍선,1,1
cape-89,손오공 꼬리,1,1
