Index,Name,MaleProb,FemaleProb
coat-445,하얀 반팔 면티,1,1
coat-42,회색 반팔 면티,1,1
coat-90,파란색 원라인 티셔츠,1,1
coat-250,주황색 스포츠 티셔츠,1,1
coat-14,RED 티셔츠,1,1
coat-470,하얀 면 나시,1,1
coat-553,화이트 티케T,1,1
coat-641,다크한 내복 상의,1,1
coat-644,신비한 내복 상의,1,1
coat-632,냉철한 내복 상의,1,1
coat-630,상큼한 내복 상의,1,1
coat-631,찬란한 내복 상의,1,1
coat-633,정열의 내복 상의,1,1
coat-303,레인보우 니트,1,1
coat-292,누더기 상의,1,1
coat-600,하트 슬리브리스,1,1
coat-240,노란 반팔 면티,1,1
coat-163,초록 반팔 면티,1,1
coat-491,빨간 줄무늬 티셔츠,1,1
coat-432,분홍 별무늬 티셔츠,1,1
coat-437,RED 티셔츠,1,1
coat-702,랄랄라 핑크티,1,1
coat-336,빨간 줄나시,1,1
coat-584,탱크탑,1,1
coat-411,핑크탑,1,1
coat-588,핑크프릴 파자마 상의,1,1
coat-47,핑크 프릴 반소매,1,1
coat-260,아이돌스타 리본탑,1,1
coat-225,블루 프릴 슬리브리스,1,1
coat-379,하트 슬리브리스,1,1
coat-541,옐로우 프릴 슬리브리스,1,1
