Index,Name,MaleProb,FemaleProb
none,없음,1,1
eyeaccessory-168,낭만 동글이 안경,0.001,0.001
eyeaccessory-165,별의 계약자,0.001,0.001
eyeaccessory-72,동글이 안경,0.001,0.001
eyeaccessory-59,바나나 안경,0.001,0.001
eyeaccessory-118,개인정보 보호막대,0.001,0.001
eyeaccessory-30,3D 글래스,0.001,0.001
eyeaccessory-31,뭐요! 안대,0.001,0.001
eyeaccessory-171,견습 도사의 흉터,0.001,0.001
eyeaccessory-11,파풀라투스 마크,0.001,0.001
eyeaccessory-94,코야코야 안대,0.001,0.001
eyeaccessory-116,스카우터,0.2,0.2
eyeaccessory-126,페어리 마크,0.001,0.001
eyeaccessory-17,까만 선글래스,0.001,0.001
eyeaccessory-24,블랙빈 마크,0.001,0.001
eyeaccessory-14,아쿠아틱 레터 눈장식,0.001,0.001
eyeaccessory-98,에볼루션 선글라스,0.001,0.001
eyeaccessory-27,외눈안대,0.001,0.001
eyeaccessory-105,카오스 핑크빈 마크,0.001,0.001
eyeaccessory-5,발굴된 유물 안경,0.001,0.001
eyeaccessory-137,세인트 세이버 고글,0.001,0.001
eyeaccessory-46,어눌한 팬더 장식,0.001,0.001
eyeaccessory-28,소공의 팬더 장식,0.001,0.001
eyeaccessory-2,엘븐 글래스,0.001,0.001
eyeaccessory-54,켄타의 물안경,0.001,0.001
eyeaccessory-95,여행자의 윙글래스,0.001,0.001
eyeaccessory-67,오닉스 드래곤 안경,0.001,0.001
eyeaccessory-40,미카엘라의 안경,0.001,0.001
eyeaccessory-160,미카엘의 안경,0.001,0.001
eyeaccessory-35,드래곤 안경,0.001,0.001
eyeaccessory-63,고고학자의 안경,0.001,0.001
eyeaccessory-18,가가 안경,0.001,0.001
eyeaccessory-51,금이 간 안경,0.001,0.001
eyeaccessory-65,옐로우 쉐이드,0.001,0.001
eyeaccessory-152,핑크 쉐이드,0.001,0.001
eyeaccessory-41,그린 쉐이드,0.001,0.001
eyeaccessory-139,오렌지 쉐이드,0.001,0.001
eyeaccessory-15,화이트 쉐이드,0.001,0.001
eyeaccessory-38,빅 선글라스,0.001,0.001
eyeaccessory-99,플랫 미니 글라스,0.001,0.001
eyeaccessory-97,블랙 썬그라스,0.001,0.001
eyeaccessory-109,밀키레드 글라스,0.001,0.001
eyeaccessory-45,핑크색 선글라스,0.001,0.001
eyeaccessory-77,스타일리쉬 레이벤 안경,0.001,0.001
eyeaccessory-42,미스틱퍼플 글라스,0.001,0.001
eyeaccessory-112,레이저 안경,0.0001,0.0001
eyeaccessory-108,빨간 반무테 안경,0.001,0.001
eyeaccessory-13,빈티지 스타일 안경,0.001,0.001
eyeaccessory-111,초록 뿔테 안경,0.001,0.001
eyeaccessory-32,눈가리개,0.001,0.001
eyeaccessory-142,모범생 안경,0.001,0.001
eyeaccessory-26,붕대,0.001,0.001
eyeaccessory-115,스카우터,0.001,0.001
eyeaccessory-121,패션 선글라스,0.001,0.001
eyeaccessory-128,모노클,0.001,0.001
eyeaccessory-58,주황색 떙글이 선글라스,0.001,0.001
eyeaccessory-114,보라색 땡글이 선글라스,0.001,0.001
eyeaccessory-76,무테안경,0.001,0.001
eyeaccessory-117,그린 스포츠고글,0.001,0.001
eyeaccessory-84,오렌지 스포츠고글,0.001,0.001
eyeaccessory-123,괴인 안경,0.001,0.001
eyeaccessory-37,홈즈 안경,0.001,0.001
eyeaccessory-136,위생 안경,0.001,0.001
eyeaccessory-47,레드 메탈 고글,0.001,0.001
eyeaccessory-135,샐러리맨안경,0.001,0.001
eyeaccessory-33,머스커레이드,0.001,0.001
eyeaccessory-85,퍼플 레이벤 선글라스,0.001,0.001
eyeaccessory-156,블루 레이벤 선글라스,0.001,0.001
eyeaccessory-90,블랙 레이벤 선글라스,0.001,0.001
eyeaccessory-140,브라운 레이벤 선글라스,0.001,0.001
eyeaccessory-93,주황색 뿔테 안경,0.001,0.001
eyeaccessory-149,초록색 뿔테 안경,0.001,0.001
eyeaccessory-157,파란색 뿔테 안경,0.001,0.001
eyeaccessory-127,빨간색 뿔테 안경,0.001,0.001
eyeaccessory-79,초록색 안경,0.001,0.001
eyeaccessory-134,노란색 안경,0.001,0.001
eyeaccessory-88,파란색 안경,0.001,0.001
eyeaccessory-50,주황색 안경,0.001,0.001
