Index,Name,MaleProb,FemaleProb
face-1800,도전적인 얼굴,1,0
face-3130,자신있는 얼굴,1,0
face-2250,신중한 얼굴,1,0
face-698,남자얼굴4,1,0
face-3068,남자얼굴5,1,0
face-2267,남자얼굴6,1,0
face-1854,남자얼굴7,1,0
face-623,남자얼굴8,1,0
face-2063,남자얼굴9,1,0
face-1563,심술쟁이 얼굴,1,0
face-72,뚱-한 얼굴,1,0
face-1979,남자얼굴10,1,0
face-3448,남자얼굴15,1,0
face-3292,남자얼굴11,1,0
face-705,남자얼굴12,1,0
face-2661,남자얼굴14,1,0
face-892,진지한 얼굴,1,0
face-1590,남자얼굴13,1,0
face-839,좋은사람 얼굴,1,0
face-707,남자얼굴16,1,0
face-1203,남자얼굴17,1,0
face-2323,남자얼굴18,1,0
face-3462,남자얼굴19,1,0
face-791,남자얼굴20,1,0
face-616,도도한 얼굴,1,0
face-3272,남자얼굴21,1,0
face-1378,남자얼굴22,1,0
face-2446,아란 얼굴,1,0
face-3403,개구쟁이 얼굴,1,0
face-1313,똘망똘망 얼굴,1,0
face-1880,초점 없는 얼굴,1,0
face-3022,깐깐한 얼굴,1,0
face-1791,신비로운 얼굴,1,0
face-2556,수정눈 얼굴,1,0
face-2110,반항적인 얼굴,1,0
face-3333,호수눈 얼굴,1,0
face-2664,멍한 얼굴,1,0
face-851,카리스마 마족,1,0
face-2138,냉철한 엘프 얼굴,1,0
face-83,안보여요 얼굴,1,0
face-461,구미호 얼굴,1,0
face-3273,이계의 미남형 얼굴,1,0
face-335,크로우 얼굴,1,0
face-945,구슬눈 얼굴,1,0
face-652,오드아이 얼굴,1,0
face-2180,온화한 엘프 얼굴,1,0
face-1552,귀티나는 얼굴,1,0
face-2643,부티나는 얼굴,1,0
face-1788,모범생 얼굴,1,0
face-1412,아잉 얼굴,1,0
face-2215,샤프한 얼굴,1,0
face-2524,시원시원한 얼굴,1,0
face-3346,총명한 얼굴,1,0
face-2024,카리스마 듀블,1,0
face-2310,뾰로통 얼굴,1,0
face-2254,순한 얼굴,1,0
face-400,눈물눈 얼굴,1,0
face-1858,미하일 얼굴,1,0
face-602,나인하트 얼굴,1,0
face-1042,강인한 오드아이,1,0
face-654,차분한 오드아이,1,0
face-3330,카이저 얼굴,1,0
face-1122,방울눈 얼굴,1,0
face-2351,별빛눈 얼굴,1,0
face-218,순수한 얼굴,1,0
face-1971,지켜본다 얼굴,1,0
face-1861,여우눈 얼굴,1,0
face-1327,고독한 눈 얼굴,1,0
face-1278,침착한 눈 얼굴,1,0
face-787,스우 얼굴,1,0
face-1976,단정한 얼굴,1,0
face-2942,선비 얼굴,1,0
face-2202,노블레스 얼굴,1,0
face-548,힐끔 얼굴,1,0
face-1609,MC 얼굴,1,0
face-2288,야심찬 얼굴,1,0
face-1475,이리오너라 얼굴,1,0
face-1144,송충이눈썹 얼굴,1,0
face-1302,호이포이 얼굴,1,0
face-1086,테스 얼굴,1,0
face-2836,도전적인 얼굴,1,0
face-2070,자신있는 얼굴,1,0
face-1758,신중한 얼굴,1,0
face-2403,남자얼굴4,1,0
face-2996,남자얼굴5,1,0
face-1893,남자얼굴6,1,0
face-312,남자얼굴7,1,0
face-53,남자얼굴8,1,0
face-1301,남자얼굴9,1,0
face-2478,심술쟁이 얼굴,1,0
face-1549,사나이 얼굴,1,0
