Index,Name,MaleProb,FemaleProb
faceaccessory-270,갈색 턱수염,1,0.01
faceaccessory-106,동그란 수염,1,0.01
faceaccessory-372,남자닌자 마스크,1,1
faceaccessory-319,면도자국,1,0.01
faceaccessory-56,야쿠자 흉터,1,1
faceaccessory-161,[블루] 블레이 얼굴장식,1,1
faceaccessory-226,[블랙] 블레이 얼굴장식,1,1
faceaccessory-437,백안 차분한 루시드 얼굴장식,1,1
faceaccessory-433,백안 차차 얼굴장식,1,1
faceaccessory-440,백안 멍한 얼굴장식,1,1
faceaccessory-429,백안 뮤트 얼굴장식,1,1
faceaccessory-434,백안 한결같은 신비 얼굴장식,1,1
faceaccessory-436,백안 디어 얼굴장식,1,1
faceaccessory-430,백안 루시드 얼굴장식,1,1
faceaccessory-215,여자닌자 마스크,0,1
faceaccessory-318,SF닌자 마스크,1,1
faceaccessory-358,하트마크,1,1
faceaccessory-126,주근깨,1,1
faceaccessory-247,[블루] 블레어 얼굴장식,1,1
faceaccessory-41,[블랙] 블레어 얼굴장식,1,1
faceaccessory-439,백안 조용한 눈 얼굴장식,1,1
faceaccessory-435,백안 차분한 루시드 얼굴장식,1,1
faceaccessory-428,백안 졸린 얼굴장식,1,1
faceaccessory-431,백안 차차 얼굴장식,1,1
faceaccessory-432,백안 졸린 조용한 얼굴장식,1,1
faceaccessory-317,바람의 흉터,1,1
faceaccessory-227,빈디,1,1
faceaccessory-142,가죽 마스크,1,1
faceaccessory-245,연지곤지,1,1
faceaccessory-57,안면위장,1,1
faceaccessory-174,멍,1,1
faceaccessory-54,장미 한 송이,1,1
faceaccessory-85,산타 수염,1,0.01
faceaccessory-366,모자이크,1,1
faceaccessory-324,키스 마크,1,1
faceaccessory-111,루돌프의 빨간코,1,1
faceaccessory-244,흰색 경극가면,1,1
faceaccessory-380,빨간색 경극가면,1,1
faceaccessory-351,노란색 경극가면,1,1
faceaccessory-275,엘레강스 수염,1,0.01
faceaccessory-398,인디언 페인팅,1,1
faceaccessory-243,관우 수염,1,0.01
faceaccessory-23,반창고,1,1
faceaccessory-60,홍조,1,1
faceaccessory-266,잎사귀,1,1
faceaccessory-343,식빵,1,1
faceaccessory-185,미이라 마스크,1,1
faceaccessory-231,백작님 수염,1,0.01
faceaccessory-86,커다란 흉터,1,1
faceaccessory-114,두루마리 문서,1,1
faceaccessory-395,분노,1,1
faceaccessory-381,절망,1,1
faceaccessory-74,반달 홍조,1,1
faceaccessory-68,개코,1,1
faceaccessory-396,힘센 피노키오 코,1,1
faceaccessory-118,마일드핑크 립스틱,1,1
faceaccessory-193,딸기맛 아이스바,1,1
faceaccessory-339,초코맛 아이스바,1,1
faceaccessory-12,메론맛 아이스바,1,1
faceaccessory-211,수박맛 아이스바,1,1
faceaccessory-66,메롱,1,1
faceaccessory-397,식은땀,1,1
faceaccessory-192,웃는 얼굴가면,1,1
faceaccessory-345,우는 얼굴가면,1,1
faceaccessory-364,우울한 얼굴가면,1,1
faceaccessory-83,도톰한 입술,1,1
faceaccessory-3,귀까지 빨개,1,1
faceaccessory-124,인형핑크,1,1
faceaccessory-198,화이트 마우스 분장,1,1
faceaccessory-16,딸기맛 풍선껌,1,1
faceaccessory-368,사과맛 풍선껌,1,1
faceaccessory-326,삑삑이,1,1
faceaccessory-164,메이플 리프,1,1
faceaccessory-169,쁘띠베베,1,1
