Index,Name,MaleProb,FemaleProb
hair-1033,검은색 토벤 머리,1,0
hair-5103,빨간색 토벤 머리,1,0
hair-5725,주황색 토벤 머리,1,0
hair-2844,노란색 토벤 머리,1,0
hair-3443,초록색 토벤 머리,1,0
hair-1753,파란색 토벤 머리,1,0
hair-5950,보라색 토벤 머리,1,0
hair-2935,갈색 토벤 머리,1,0
hair-5281,검은색 짓타 머리,1,0
hair-5572,검은색 더벅 머리,1,0
hair-3318,빨간색 더벅 머리,1,0
hair-2906,주황색 더벅 머리,1,0
hair-4362,노란색 더벅 머리,1,0
hair-2045,초록색 더벅 머리,1,0
hair-5832,파란색 더벅 머리,1,0
hair-5822,보라색 더벅 머리,1,0
hair-2117,갈색 더벅 머리,1,0
hair-2494,검은색 빡빡 머리,1,0
hair-2430,빨간색 빡빡 머리,1,0
hair-6160,주황색 빡빡 머리,1,0
hair-1438,노란색 빡빡 머리,1,0
hair-4097,초록색 빡빡 머리,1,0
hair-2141,파란색 빡빡 머리,1,0
hair-6009,보라색 빡빡 머리,1,0
hair-4658,갈색 빡빡 머리,1,0
hair-2779,검은색 단발 머리,1,0
hair-4762,빨간색 단발 머리,1,0
hair-970,주황색 단발 머리,1,0
hair-3493,노란색 단발 머리,1,0
hair-2395,초록색 단발 머리,1,0
hair-4816,파란색 단발 머리,1,0
hair-5282,보라색 단발 머리,1,0
hair-3606,갈색 단발 머리,1,0
hair-5641,검은색 귀공자 머리,1,0
hair-1367,빨간색 귀공자 머리,1,0
hair-2241,주황색 귀공자 머리,1,0
hair-5492,노란색 귀공자 머리,1,0
hair-3693,초록색 귀공자 머리,1,0
hair-2215,파란색 귀공자 머리,1,0
hair-3053,보라색 귀공자 머리,1,0
hair-686,갈색 귀공자 머리,1,0
hair-5586,검은색 묶은 머리,1,0
hair-3891,빨간색 묶은 머리,1,0
hair-2974,주황색 묶은 머리,1,0
hair-2252,노란색 묶은 머리,1,0
hair-4374,초록색 묶은 머리,1,0
