Index,Name,MaleProb,FemaleProb
pants-235,흑진일갑주 바지,1,1
pants-393,검은 정장 바지,1,1
pants-195,파란 청 반바지,1,1
pants-154,밀리터리 숏팬츠,1,1
pants-142,회색 고무줄 바지,1,1
pants-264,우드랜드 바지,1,1
pants-237,갈색 면 반바지,1,1
pants-456,파란 칠부바지,1,1
pants-247,스틸 코퍼럴 바지,1,1
pants-12,스틸 서전트 치마,1,1
pants-511,오리할콘 마스터 서전트 치마,1,1
pants-401,파란색 수련복 바지,1,1
pants-450,회갈색 수련복 바지,1,1
pants-186,검은색 가람 바지,1,1
pants-433,흰색 가람 바지,1,1
pants-284,흑무 바지,1,1
pants-170,백무 바지,1,1
pants-505,홍무 바지,1,1
pants-457,황무 바지,1,1
pants-200,반 백무 바지,1,1
pants-172,청몽 바지,1,1
pants-135,홍몽 바지,1,1
pants-430,흑몽 바지,1,1
pants-66,흑야 바지,1,1
pants-314,청야 바지,1,1
pants-211,파란줄 면 팬티,1,1
pants-252,브라운 코퍼럴 바지,1,1
pants-72,블루 로리카 바지,1,1
pants-257,레드 서전트 치마,1,1
pants-98,다크 마스터 서전트 치마,1,1
pants-390,파란색 파오 바지,1,1
pants-523,빨간색 파오 바지,1,1
pants-26,검정색 파오 바지,1,1
pants-296,블루 라이더 바지,1,1
pants-305,샤인라이더 하의,1,1
pants-374,다크 라이더 바지,1,1
pants-366,다크브라운 스니크 바지,1,1
pants-159,브라운 스니크 바지,1,1
pants-232,블랙 스니크 바지,1,1
pants-29,백수 트레이닝 바지,1,1
pants-274,새마을 트레이닝 바지,1,1
pants-140,관급 트레이닝 바지,1,1
pants-105,다크브라운 스틸러 바지,1,1
pants-219,다크실버 스틸러 바지,1,1
pants-397,레드골드 스틸러 바지,1,1
pants-1,실버블랙 스틸러 바지,1,1
pants-265,교련 바지,1,1
pants-212,엘레이 바지,1,1
pants-328,와싱톤 바지,1,1
pants-404,블루 너클베스트 바지,1,1
pants-48,레드 너클베스트 바지,1,1
pants-387,블랙 너클베스트 바지,1,1
pants-234,와일드 바지,1,1
pants-97,와일드 와일드 바지,1,1
pants-346,블러디 와일드 바지,1,1
pants-193,그린 헌터스 아머 바지,1,1
pants-361,다크 헌터스 아머 바지,1,1
pants-38,레드 헌터스 아머 바지,1,1
pants-512,블루 헌터스 아머 바지,1,1
pants-176,실버 마스터 서전트 치마,1,1
pants-524,레드 레골러 바지,1,1
pants-118,블루 레골러 바지,1,1
pants-225,그린 레골러 바지,1,1
pants-49,다크 레골러 바지,1,1
pants-407,브라운 레골러 바지,1,1
pants-426,카우보이 바지,1,1
pants-272,유치원 옷 바지,1,1
pants-132,다크 피에뜨 바지,1,1
pants-413,브라운 피에뜨 바지,1,1
pants-241,블루 피에뜨 바지,1,1
pants-270,카키 쉐도우 바지,1,1
pants-222,마린 쉐도우 바지,1,1
pants-229,다크 쉐도우 바지,1,1
pants-259,백진일갑주 바지,1,1
pants-380,황진일갑주 바지,1,1
pants-310,블루 숄더메일 바지,1,1
pants-138,오우커 숄더메일 바지,1,1
pants-198,엄버 숄더메일 바지,1,1
pants-28,그린 오리엔타이칸 바지,1,1
pants-434,레드 오리엔타이칸 바지,1,1
pants-418,블루 오리엔타이칸 바지,1,1
pants-453,다크 오리엔타이칸 바지,1,1
pants-112,적일 바지,1,1
pants-431,청일 바지,1,1
pants-342,황일 바지,1,1
pants-31,녹일 바지,1,1
pants-45,라이트 스콜피오 바지,1,1
pants-478,오커 스콜피오 바지,1,1
pants-149,다크 스콜피오 바지,1,1
pants-482,브론즈 플라틴 바지,1,1
pants-349,미스릴 플라틴 바지,1,1
pants-398,오리할콘 플라틴 바지,1,1
pants-436,브라운 스타드 바지,1,1
pants-382,블루 스타드 바지,1,1
pants-110,다크 스타드 바지,1,1
pants-483,복고교복 바지,1,1
pants-293,그린 피라테 바지,1,1
pants-329,레드 피라테 바지,1,1
pants-468,다크 피라테 바지,1,1
pants-174,그린 제너럴 바지,1,1
pants-400,블루 제너럴 바지,1,1
pants-114,다크 제너럴 바지,1,1
pants-233,하와이안 하의,1,1
pants-74,그린 쉐이드슈트 바지,1,1
pants-365,브라운 쉐이드슈트 바지,1,1
pants-46,퍼플 쉐이드슈트 바지,1,1
pants-171,레드 쉐이드슈트 바지,1,1
pants-246,누더기 바지,1,1
pants-376,그린 네오스 바지,1,1
pants-84,블루 네오스 바지,1,1
pants-332,블랙 네오스 바지,1,1
pants-101,블루 레깅스,1,1
pants-248,워터 워싱진,1,1
pants-417,밀리터리 카고 반바지,1,1
pants-360,트로피컬 반바지,1,1
pants-532,트레이닝웨어,1,1
pants-485,청 주름 치마,1,1
pants-182,타니아 타탄 바지,1,1
pants-86,머큐리 워싱진,1,1
pants-381,아이돌스타 체인팬츠,1,1
pants-173,평범한 청반바지,1,1
pants-258,아발란체 바지,1,1
pants-162,갈색 하드래더 바지,1,1
pants-75,주름 호박바지,1,1
pants-122,골프 반바지,1,1
pants-408,데네브 바지,1,1
pants-58,랄랄라 도트 팬츠,1,1
pants-163,파란 벨 드레스,1,1
pants-475,파란 세일러 치마,1,1
pants-509,빨간 미니 스커트,1,1
pants-345,빨간색 친파오 바지,1,1
pants-311,핑크색 미미 스커트,1,1
pants-102,롤업진,1,1
pants-470,그린 아벨 가죽치마,1,1
pants-93,빨간 세일러 치마,1,1
pants-357,남색 미니 스커트,1,1
pants-481,그린 아벨린 치마,1,1
pants-23,블랙 아르미네 치마,1,1
pants-395,그린 아르미네 치마,1,1
pants-146,퍼플 아리안느 치마,1,1
pants-139,그린 아리안느 치마,1,1
pants-21,레전드 바지,1,1
pants-356,블루 샤크 치마,1,1
pants-379,레드 라멜 치마,1,1
pants-215,그린 라멜 치마,1,1
pants-213,브라운 라멜 치마,1,1
